scheme,view,features,model,control,folds,balanced_accuracy,balanced_accuracy_sd,above_chance,macro_f1,ece,nll,chance,n_test
cross_lab_allen_to_ibl,4class,geometry,logreg,model,7,0.5213933543087361,0.0977715419436637,0.2237743066896885,0.43269318703653126,0.4016139644843594,3.1387885396909185,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,amplitude,logreg,model,7,0.40142546192145684,0.07851566803369171,0.10380641430240921,0.28929525178680543,0.18978407808584752,1.1703234290186515,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,bandpower_full,logreg,model,7,0.38366431212227387,0.08039157293582419,0.08604526450322626,0.3538061649090901,0.14665671508961484,1.3687605284074895,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,bandpower_clean,logreg,model,7,0.36444649509341415,0.05569357770033865,0.06682744747436652,0.3084027679708076,0.1770338768564941,1.476585064961151,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,w2v2_frozen,logreg,model,7,0.3041409795795473,0.057184244051765705,0.006521931960499668,0.21980550367789034,0.6311145854331465,7.0116390563487645,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,amplitude,constant,model,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.07408121228870626,1.3042617151535703,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,amplitude,constant,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.07408121228870626,1.3042617151535703,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,amplitude,logreg,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857265598734877,0.07345267774067667,1.303298106138843,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,bandpower_clean,constant,model,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.07408121228870626,1.3042617151535703,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,bandpower_clean,constant,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.07408121228870626,1.3042617151535703,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,bandpower_clean,logreg,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.0808127780496817,1.3055966345319703,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,bandpower_full,constant,model,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.07408121228870626,1.3042617151535703,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,bandpower_full,constant,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.07408121228870626,1.3042617151535703,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,bandpower_full,logreg,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.07521765189076436,1.302284120151393,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,geometry,constant,model,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.07408121228870626,1.3042617151535703,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,geometry,constant,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.07408121228870626,1.3042617151535703,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,geometry,logreg,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.22906861994420646,1.3028798973322766,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,w2v2_frozen,constant,model,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.07408121228870626,1.3042617151535703,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,w2v2_frozen,constant,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.07408121228870626,1.3042617151535703,0.29761904761904756,132600
cross_lab_allen_to_ibl,4class,w2v2_frozen,logreg,permuted,7,0.25264500437648635,0.06600869807084667,-0.04497404324256127,0.24033774952026854,0.19886002446664847,1.3995707020955126,0.29761904761904756,132600
cross_lab_allen_to_ibl,5class,geometry,logreg,model,7,0.5126091235014204,0.09569029919609937,0.21499007588237287,0.4251114414017866,0.41389135653651504,3.3967491276508146,0.29761904761904756,132600
cross_lab_allen_to_ibl,5class,amplitude,logreg,model,7,0.4011836101889861,0.07846364669287222,0.10356456256993847,0.2889909397926326,0.1820244397001683,1.1842286828042277,0.29761904761904756,132600
cross_lab_allen_to_ibl,5class,w2v2_frozen,logreg,permuted,7,0.39567936693376515,0.06501857260068115,0.09806031931471752,0.3116283957520728,0.10452424600796427,1.4219922599546126,0.29761904761904756,132600
cross_lab_allen_to_ibl,5class,bandpower_full,logreg,model,7,0.3836078549201539,0.08038825557877845,0.08598880730110632,0.3537834519061736,0.13744800028356957,1.3872920575702299,0.29761904761904756,132600
cross_lab_allen_to_ibl,5class,bandpower_clean,logreg,model,7,0.36432247582634025,0.05581435102681349,0.06670342820729268,0.3083478774337117,0.173337864215088,1.486636249038734,0.29761904761904756,132600
cross_lab_allen_to_ibl,5class,w2v2_frozen,logreg,model,7,0.30402760772362775,0.057650930183674585,0.006408560104580122,0.22025877900832508,0.6304758193843157,6.996662313047408,0.29761904761904756,132600
cross_lab_allen_to_ibl,5class,amplitude,constant,model,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.0697769744078259,1.3140417442072103,0.29761904761904756,132600
cross_lab_allen_to_ibl,5class,amplitude,constant,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.0697769744078259,1.3140417442072103,0.29761904761904756,132600
