scheme,fold,view,features,model,control,seed,n_train,n_test,chance,noise_band,balanced_accuracy,accuracy,macro_f1,nll,brier,ece,ece_adaptive,classes_present,above_chance,recall_CA1,recall_DG,recall_VIS,recall_CA3,recall_CA2,draws,balanced_accuracy_max_draw
loso_allen,719161530_probeA,4class,bandpower_full,constant,model,0,35100,5200,0.3333333333333333,0.0215426973482119,0.3333333333333333,0.4423076923076923,0.2044444444444444,1.196743314077476,0.6649174925528204,0.0106837606837607,0.0106837606837607,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,719161530_probeA,4class,bandpower_full,constant,permuted,0,35100,5200,0.3333333333333333,0.0215426973482119,0.3333333333333333,0.4423076923076923,0.2044444444444444,1.196743314077476,0.6649174925528204,0.0106837606837607,0.0106837606837607,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,719161530_probeB,4class,bandpower_full,constant,model,0,34600,5400,0.3333333333333333,0.0207628678437416,0.3333333333333333,0.4074074074074074,0.1929824561403509,1.1753981551342023,0.6727037940409587,0.0579105116677372,0.0579105116677372,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,719161530_probeB,4class,bandpower_full,constant,permuted,0,34600,5400,0.3333333333333333,0.0207628678437416,0.3333333333333333,0.4074074074074074,0.1929824561403509,1.1753981551342023,0.6727037940409587,0.0579105116677372,0.0579105116677372,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,719161530_probeC,4class,bandpower_full,constant,model,0,36000,2900,0.5,0.0325461709998771,0.5,0.7586206896551724,0.4313725490196078,1.057224629307122,0.5859237973605791,0.3197318007662833,0.3197318007662833,DG|VIS,0.0,,0.0,1.0,,,,
loso_allen,719161530_probeC,4class,bandpower_full,constant,permuted,0,36000,2900,0.5,0.0325461709998771,0.5,0.7586206896551724,0.4313725490196078,1.057224629307122,0.5859237973605791,0.3197318007662833,0.3197318007662833,DG|VIS,0.0,,0.0,1.0,,,,
loso_allen,719161530_probeF,4class,bandpower_full,constant,model,0,36600,4100,0.3333333333333333,0.0299509402778846,0.3333333333333333,0.4878048780487805,0.2185792349726776,1.034578853194063,0.6068727336023696,0.0451819272291084,0.0451819272291084,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,719161530_probeF,4class,bandpower_full,constant,permuted,0,36600,4100,0.3333333333333333,0.0299509402778846,0.3333333333333333,0.4878048780487805,0.2185792349726776,1.034578853194063,0.6068727336023696,0.0451819272291084,0.0451819272291084,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,798911424_probeA,4class,bandpower_full,constant,model,0,32800,5300,0.3333333333333333,0.02203963733901,0.3333333333333333,0.4528301886792453,0.2077922077922077,1.089858947604099,0.6434971743010113,0.0227795674183157,0.0227795674183157,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,798911424_probeA,4class,bandpower_full,constant,permuted,0,32800,5300,0.3333333333333333,0.02203963733901,0.3333333333333333,0.4528301886792453,0.2077922077922077,1.089858947604099,0.6434971743010113,0.0227795674183157,0.0227795674183157,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,798911424_probeB,4class,bandpower_full,constant,model,0,35800,5700,0.3333333333333333,0.019989599196949,0.3333333333333333,0.3859649122807017,0.1856540084388185,1.2601712423993434,0.7009905619828104,0.0637557581103596,0.0637557581103596,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,798911424_probeB,4class,bandpower_full,constant,permuted,0,35800,5700,0.3333333333333333,0.019989599196949,0.3333333333333333,0.3859649122807017,0.1856540084388185,1.2601712423993434,0.7009905619828104,0.0637557581103596,0.0637557581103596,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,798911424_probeC,4class,bandpower_full,constant,model,0,37600,3800,0.5,0.0248910670199432,0.5,0.6052631578947368,0.3770491803278688,1.2176024379147683,0.677373216030116,0.1850503919372898,0.1850503919372898,DG|VIS,0.0,,0.0,1.0,,,,
loso_allen,798911424_probeC,4class,bandpower_full,constant,permuted,0,37600,3800,0.5,0.0248910670199432,0.5,0.6052631578947368,0.3770491803278688,1.2176024379147683,0.677373216030116,0.1850503919372898,0.1850503919372898,DG|VIS,0.0,,0.0,1.0,,,,
loso_allen,798911424_probeD,4class,bandpower_full,constant,model,0,32900,5500,0.3333333333333333,0.0264635695404174,0.3333333333333333,0.4363636363636363,0.2025316455696202,1.1896133617902864,0.6545995426031641,0.0408400110527769,0.0408400110527769,CA1|CA3|VIS,0.0,0.0,,1.0,0.0,,,
loso_allen,798911424_probeD,4class,bandpower_full,constant,permuted,0,32900,5500,0.3333333333333333,0.0264635695404174,0.3333333333333333,0.4363636363636363,0.2025316455696202,1.1896133617902864,0.6545995426031641,0.0408400110527769,0.0408400110527769,CA1|CA3|VIS,0.0,0.0,,1.0,0.0,,,
loso_allen,798911424_probeE,4class,bandpower_full,constant,model,0,32400,6200,0.3333333333333333,0.0191121584218615,0.3333333333333333,0.3709677419354839,0.1803921568627451,9.155515432585975,0.8322830164559887,0.1105137395459976,0.1105137395459976,CA1|CA3|VIS,0.0,0.0,,1.0,0.0,,,
loso_allen,798911424_probeE,4class,bandpower_full,constant,permuted,0,32400,6200,0.3333333333333333,0.0191121584218615,0.3333333333333333,0.3709677419354839,0.1803921568627451,9.155515432585975,0.8322830164559887,0.1105137395459976,0.1105137395459976,CA1|CA3|VIS,0.0,0.0,,1.0,0.0,,,
loso_allen,798911424_probeF,4class,bandpower_full,constant,model,0,34500,5700,0.25,0.021875,0.25,0.4210526315789473,0.1481481481481481,1.369120315156647,0.7175821090217667,0.0398169336384441,0.0398169336384441,CA1|CA3|DG|VIS,0.0,0.0,0.0,1.0,0.0,,,
loso_allen,798911424_probeF,4class,bandpower_full,constant,permuted,0,34500,5700,0.25,0.021875,0.25,0.4210526315789473,0.1481481481481481,1.369120315156647,0.7175821090217667,0.0398169336384441,0.0398169336384441,CA1|CA3|DG|VIS,0.0,0.0,0.0,1.0,0.0,,,
loso_allen,719161530_probeA,5class,bandpower_full,constant,model,0,35500,5200,0.3333333333333333,0.0215426973482119,0.3333333333333333,0.4423076923076923,0.2044444444444444,1.2080748800870256,0.6650515007706042,0.0055796316359696,0.0055796316359696,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,719161530_probeA,5class,bandpower_full,constant,permuted,0,35500,5200,0.3333333333333333,0.0215426973482119,0.3333333333333333,0.4423076923076923,0.2044444444444444,1.2080748800870256,0.6650515007706042,0.0055796316359696,0.0055796316359696,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,719161530_probeB,5class,bandpower_full,constant,model,0,35000,5400,0.3333333333333333,0.0207628678437416,0.3333333333333333,0.4074074074074074,0.1929824561403509,1.1868925345599373,0.6727794406651549,0.0525925925925926,0.0525925925925926,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,719161530_probeB,5class,bandpower_full,constant,permuted,0,35000,5400,0.3333333333333333,0.0207628678437416,0.3333333333333333,0.4074074074074074,0.1929824561403509,1.1868925345599373,0.6727794406651549,0.0525925925925926,0.0525925925925926,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
loso_allen,719161530_probeC,5class,bandpower_full,constant,model,0,36400,2900,0.5,0.0325461709998771,0.5,0.7586206896551724,0.4313725490196078,1.0682744654937073,0.5869834977451499,0.3245547555892381,0.3245547555892381,DG|VIS,0.0,,0.0,1.0,,,,
loso_allen,719161530_probeC,5class,bandpower_full,constant,permuted,0,36400,2900,0.5,0.0325461709998771,0.5,0.7586206896551724,0.4313725490196078,1.0682744654937073,0.5869834977451499,0.3245547555892381,0.3245547555892381,DG|VIS,0.0,,0.0,1.0,,,,
loso_allen,719161530_probeF,5class,bandpower_full,constant,model,0,36800,4100,0.3333333333333333,0.0299509402778846,0.3333333333333333,0.4878048780487805,0.2185792349726776,1.040028457961628,0.6072144866061135,0.0475874867444328,0.0475874867444328,CA1|DG|VIS,0.0,0.0,0.0,1.0,,,,
